Title	Project	File Base Name	Coord Type	Start Longitude	Start Latitude	End Longitude	End Latitude	Velocity Offset	Rest Frequency	Frequency Delta	Start Cal Time	End Cal Time	Integration Period	Start Time	Reference	Epoch
PocketSpacecraft	MGS-NEO2-44117A	AZ80_EL40	AZEL	80	40	80	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ90_EL40	AZEL	90	40	90	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ100_EL40	AZEL	100	40	100	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ110_EL40	AZEL	110	40	110	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ120_EL40	AZEL	120	40	120	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ130_EL40	AZEL	130	40	130	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ140_EL40	AZEL	140	40	140	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ150_EL40	AZEL	150	40	150	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ160_EL40	AZEL	160	40	160	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ170_EL40	AZEL	170	40	170	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ180_EL40	AZEL	180	40	180	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ190_EL40	AZEL	190	40	190	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ200_EL40	AZEL	200	40	200	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ210_EL40	AZEL	210	40	210	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ220_EL40	AZEL	220	40	220	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ230_EL40	AZEL	230	40	230	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ240_EL40	AZEL	240	40	240	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ250_EL40	AZEL	250	40	250	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ260_EL40	AZEL	260	40	260	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ270_EL40	AZEL	270	40	270	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ280_EL40	AZEL	280	40	280	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ290_EL40	AZEL	290	40	290	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ300_EL40	AZEL	300	40	300	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ310_EL40	AZEL	310	40	310	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ320_EL40	AZEL	320	40	320	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ330_EL40	AZEL	330	40	330	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ340_EL40	AZEL	340	40	340	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ350_EL40	AZEL	350	40	350	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ350_EL50	AZEL	350	50	350	50	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ340_EL50	AZEL	340	50	340	50	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ330_EL50	AZEL	330	50	330	50	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ320_EL50	AZEL	320	50	320	50	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ310_EL50	AZEL	310	50	310	50	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ300_EL50	AZEL	300	50	300	50	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ290_EL50	AZEL	290	50	290	50	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ280_EL50	AZEL	280	50	280	50	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ270_EL50	AZEL	270	50	270	50	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ260_EL50	AZEL	260	50	260	50	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ250_EL50	AZEL	250	50	250	50	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ240_EL50	AZEL	240	50	240	50	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ230_EL50	AZEL	230	50	230	50	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ220_EL50	AZEL	220	50	220	50	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ210_EL50	AZEL	210	50	210	50	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ200_EL50	AZEL	200	50	200	50	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ190_EL50	AZEL	190	50	190	50	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ180_EL50	AZEL	180	50	180	50	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ170_EL50	AZEL	170	50	170	50	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ160_EL50	AZEL	160	50	160	50	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ150_EL50	AZEL	150	50	150	50	0	0	0	0	0	20	0	NO	AZEL
